Company Name,Series A,Series B,Series C,Angel,VC,Other,Total Funding,Acquisition Price
Atom Entertainment,22900000,0,0,0,0,0,22900000,200000000
Friendster,2400000,13000000,10000000,0,3100000,20000000,48500000,26400000
WAY Systems,0,0,22000000,0,0,0,22000000,9000000
Cue,4000000,0,0,15000,0,0,4715000,50000000
MoPub,6500000,12000000,0,0,0,0,18500000,350000000
Apertio,0,30000000,0,0,0,0,30000000,140000000
M:Metrics,0,7000000,0,0,11000000,0,18000000,44000000
Jajah,3000000,5000000,20000000,0,0,5000000,33000000,207000000
Jigsaw,750000,5200000,12000000,0,0,0,17950000,142000000
ZipList,2500000,2000000,0,0,0,0,4500000,14000000
Viki,4300000,20000000,0,0,0,0,24300000,200000000
Screamin Daily Deals,450000,0,0,0,0,0,450000,32500000
LiveWire Mobile,0,0,0,0,0,1650000,4420000,17800000
Tacoda,0,0,0,0,12000000,7000000,19000000,275000000
SwapDrive,2000000,0,0,0,0,0,4650000,123000000
Plixi,2600000,0,0,0,0,0,2600000,10000000
LabPixies,1000000,0,0,0,0,0,1000000,25000000
Poynt,0,0,0,0,5711912,550000,6261912,2500000
Channel Intelligence,0,0,0,3008970,0,0,3008970,125000000
OPENLANE,0,0,0,0,10000000,0,10000000,210000000
Imagekind,2600000,0,0,0,0,0,2600000,8400000
OkCupid,6000000,0,0,0,0,0,6000000,50000000
GrandCentral,4000000,0,0,0,0,0,4000000,60000000
Instinctiv,0,0,0,750000,400002,270696,1420698,10000000
Onavo,3000000,10000000,0,0,0,0,13000000,150000000
CrowdCompass,1300000,0,0,0,0,0,1300000,10000000
Posterous,4400000,5000000,0,15000,0,725000,10140000,10000000
Auctomatic,0,0,0,0,0,400000,400000,5000000
Crashlytics,5000000,0,0,1000000,0,0,6000000,100000000
Hands-On Mobile,0,0,30000000,0,0,0,30000000,30000000
Webs,12000000,0,0,0,0,0,12000000,117500000
RentMineOnline,0,0,0,0,0,0,68525,9500000
Hunch,5200000,12000000,0,0,0,0,19200000,80000000
Lemon,8000000,0,0,0,0,0,8000000,42600000
Worklight,5100000,12000000,0,0,500000,0,17600000,70000000
fring Ltd,3000000,10000000,10000000,0,0,0,30000000,50000000
Atrua Technologies,0,0,0,0,0,4000000,13000000,600000000
AxisMobile,0,0,0,0,3000000,0,3000000,4900000
